Барнаул;134;27.7;0.49;2.3
Бийск;135;28.5;0.35;1.4
Горно-Аттайск;135;36.3;0.32;1.5
Улаган;135;21.4;0.32;1.6
Чем ал;135;29.4;0.3;1.6
Благовещенск;155;49.4;0.44;2.2
Архангельск;6;29.7;0.45;1.5
Холмогоры;6;28.4;0.46;2.6
Астрахань;65;26.7;0.68;2.4
Бирск;34;28.1;0.44;2.2
Уфа;34;28.5;0.43;1.4
Белгород;36а;35.4;0.46;2.2
Новый Оскол;36а;31.7;0.34;0.5
Брянск;36;34.7;0.36;1.8
Улан-Удэ;146;31.1;0.53;2.2
Баргузин;145;29.5;0.47;2.3
Владимир;27;34;0.39;1.7
Гусь-Хрустальный;27;36;0.41;1.3
Ковров;27;34.5;0.41;1.3
Муром;27;32.2;0.38;1.3
Петушки;27;35.4;0.4;2.3
Суздаль;27;33.3;0.46;1.8
Волгоград;63;26.1;0.43;1.4
Великий Устюг;8;30.5;0.37;2.2
Вологда;7;31.3;0.4;2.5
Тотьма;8;23.3;0.28;2
Череповец;7;32.5;0.33;1.2
Кириллов;7;29.8;0.3;1.3
Каргополь;7;29.5;0.4;2.3
Воронеж;38;33.3;0.66;3.2
Калач;38;28.5;0.34;1.1
Лиски;38;34.3;0.61;2.5
Острогожск;38;36.2;0.46;1.8
Павловск;38;33.3;0.41;1.5
Россошь;38;30.8;0.41;1.7
Могоча;147;41.7;0.41;1.8
Нерченск;147;31.8;0.36;1.5
Сретенск;147;35.2;0.41;1.8
Чита;147;32.8;0.36;2.1
Шилка;147;33.1;0.37;1.2
Иваново;28;31.9;0.44;3
Кинешма;28;31.1;0.36;1.4
Шуя;28;29.6;0.27;0.9
Юрьевец;28;31.3;0.5;3
Иркутск;142;38.4;0.41;1.5
Братск;143;32;0.61;3.2
Нальчик;74;49.2;0.38;1.2
Калуга;26;40.3;0.43;2.2
Малоярославец;26;34.3;0.31;0.8
Петропавловск-Камчатский;170;69.7;0.53;2.5
Усть-Камчатск;170;26.5;0.53;1.8
Калевала;4;24.6;0.34;1.7
Кемь;5;28.1;0.3;1
Кондопога;4;26.5;0.34;1.2
Петрозаводск;4;34.4;0.48;2.2
Киров;31;32.7;0.47;2.1
Сыктывкар;8;28.5;0.32;1.8
Ухта;9;28.8;0.43;1.4
Кострома;28;30.5;0.39;2
Шарья;28;35.7;0.59;2.9
Адлер;70;78.9;0.35;1.1
Белореченск;66;41.8;0.44;2.4
Красная поляна;70;67;0.3;1.5
Краснодар;66;41.1;0.5;2.2
Крымск;66;44.3;0.46;1.5
Кущёвская;66;38.4;0.46;2
Новороссийск;69;51.7;0.6;2
Приморско-Ахтарск;66;47.7;0.54;2.3
Тамань;66;39.7;0.54;2
Тихорецк;66;39.7;0.48;2.2
Туапсе;70;87.3;0.46;0.9
Сочи;70;78.3;0.38;1.6
Ачинск;137;30;0.58;2.5
Енисейск;136;24.8;0.36;1.6
Красноярск;138;34;0.54;2.4
Минусинск;140;24.6;0.47;2.3
Норильск;136;24.4;0.62;2.9
Алушта;60;36.1;0.59;2
Евпатория;58;32.8;0.53;1.8
Керчь;61;46.1;0.5;1.7
Севастополь;58;30.5;0.43;1.4
Симферополь;59;41.4;0.52;2.2
Судак;61;33.4;0.63;2.4
Феодосия;61;35.9;0.43;1.4
Ялта;60;43.4;0.67;3.4
Каргаполье;110;34.2;0.55;1.8
Курган;110;25.8;0.63;2.2
Шадринск;110;29.6;0.47;1.5
Курск;36а;39.6;0.66;4
Волхов;19;29.9;0.4;1.3
Выборг;17;34;0.49;2.1
Приморск;17;31.7;0.35;2.1
Пушкин;18;30.3;0.33;2.2
Санкт-Петербург;17;30.4;0.43;1.7
Кирсанов;37;30.5;0.49;2
Елец;37;29.3;0.42;2
Липецк;37;32.3;0.47;2.6
Йошкар-Ола;29;30.2;0.43;4
Саранск;30;36.6;0.62;3.6
Волоколамск;25;35.8;0.5;2.9
Дмитров;25;36.8;0.31;1.1
Кашира;26;31.6;0.4;1.4
Клин;25;36.7;0.42;2.1
Коломна;26;33.6;0.39;1.3
Михнево;26;34.3;0.4;2.1
Москва;25;33.2;0.38;2.3
Нарофоминск;26;35.9;0.38;1.2
Павловский Посад;25;33.5;0.58;2
Починки;25;32;0.52;2.6
Сергиев Посад;25;35.7;0.33;1
Серпухов;26;33.2;0.42;2.4
Апатиты;2;23;0.38;1.2
Кандалакша;3;23.7;0.39;1.3
Мончегорск;2;25.6;0.37;1.2
Мурманск;1;24.1;0.35;0.9
Хибины;2;27.2;0.33;0.9
Ардатов;30;28.7;0.35;1.2
Арзамас;29;29.6;0.52;3.6
Кулебаки;29;30.3;0.39;1.9
Лукоянов;30;35.66;0.69;5.3
Нижний Новгород;29;30.3;0.4;1.6
Новгород Великий;18;32.8;0.41;1.2
Новосибирск;134;29.3;0.53;3.2
Омск;132;28.3;0.58;2.4
Оренбург;43;25.1;0.44;1.4
Орёл;36;35.9;0.59;3
Пенза;39;36.2;0.51;2.5
Березники;32;31.4;0.39;1.3
Пермь;32;30.6;0.45;2.4
Соликамск;32;29.4;0.43;1.4
Владивосток;163;90.3;0.47;1.6
Великие Луки;20;32.9;0.38;1.2
Псков;18;36.8;0.37;0.8
Ейск;66;36.5;0.43;1.4
Ростов-на-Дону;64;41;0.49;1.5
Елатьма;27;30.5;0.39;1.6
Касимов;27;32.8;0.49;2.4
Рязань;27;32.9;0.46;1.5
Ряжск;26;30;0.36;1.1
Тума;27;34;0.46;1.7
Самара;41а;28.1;0.49;2.1
Балашов;40;28.7;0.39;1.2
Саратов;40;30.2;0.44;1.5
Атександровск-Сахалинский;173;39.2;0.43;1.4
Южно-Сахалинск;174;50.6;0.4;1.3
Екатеринбург;108;31.2;0.37;1.2
Красноуфимск;33;31;0.39;1
Владикавказ;74;56.6;0.38;1.6
Вязьма;23;33.5;0.36;1.6
Ельня;23;36.7;0.44;1.8
Рославль;23;35.6;0.42;2
Смоленск;23;35.1;0.42;1.9
Ессентуки;73;39.6;0.37;1.2
Железноводск;73;47.9;0.44;1.4
Кисловодск;73;50.8;0.25;1.7
Ново-Пятигорск;73;43;0.51;2.9
Пятигорск;73;43.1;0.42;1.3
Ставрополь;68;40.6;0.38;1.9
Моршанск;37;30.2;0.41;1.8
Тамбов;37;32.8;0.33;1.1
Бугульма;41;31.6;0.39;1.6
Елабуга Татарстан;40;30.4;0.42;1.4
Казань;41;30.7;0.54;3.6
Мамадыш;41;28.7;0.5;3.6
Ржев;22;34.8;0.4;1.5
Осташков;22;32.2;0.45;1.9
Тверь;22;32.1;0.37;1.6
Торжок;22;29.6;0.37;1.7
